user_id,user_name,user_location,user_tagline,friend_count,review_count,photo_count,five_start_count,four_start_count,three_start_count,two_start_count,one_start_count,useful_review_count,funny_review_count,cool_review_count,stats_dict,compliments_number,yelping_since,other_info_dict,elite_status_count,user_cities_dict,user_city_count
m1e30WC68S4-9xfWKkMplA,Danielle C.,"Glendale Heights, IL",,0,3,0,0,0,0,0,0,1,0,0,{'Tips': '1'},0,Jan-15,"{'Yelping Since': 'January 2015', 'Location': 'Glendale Heights  IL'}",0,{'IL': 3},1
PhCHTutKzfwG6hFCGKl_0Q,Pete D.,"Lombard, IL",,0,39,0,19,10,3,3,4,11,1,0,"{'Followers': '1', 'Firsts': '1'}",0,May-12,"{'Yelping Since': 'May 2012', 'Location': 'Lombard  IL'}",0,"{'WI': 3, 'NY': 1, 'CA': 2, 'MO': 4, 'IL': 29}",5
tFdfHifb9t5OzMMmLJjvKA,Afzal ozman A.,"Naperville, IL",,0,19,1,5,4,1,3,6,11,16,1,"{'Firsts': '1', 'Tips': '4', 'Bookmarks': '3'}",2,Mar-12,"{'Yelping Since': 'March 2012', 'Location': 'Naperville  IL'}",0,"{'QC': 1, 'MI': 1, 'IL': 17}",3
NrIZo0Aadl7R9oexLyPLcw,Mary H.,"Mill Valley, CA",,0,3,0,0,0,0,0,0,1,3,1,"{'Firsts': '1', 'Bookmarks': '48'}",0,Mar-15,"{'Yelping Since': 'March 2015', 'Location': 'Mill Valley  CA'}",0,{'IL': 3},1
X68X69TBGQaFpWlAZMEDSg,Andrea B.,"Bartlett, IL",,24,4,0,3,0,0,0,1,1,0,0,{'Bookmarks': '1'},0,Dec-13,"{'Yelping Since': 'December 2013', 'Location': 'Bartlett  IL'}",0,{'IL': 4},1
8j_DDoIYAj-vBCaTnFcy5g,Kendra KK A.,"Bartlett, IL",,0,2,0,0,0,0,0,0,1,0,0,{},0,Oct-15,"{'Yelping Since': 'October 2015', 'Location': 'Bartlett  IL'}",0,{'IL': 2},1
wochwRA1kN-_MMusFmhsMw,Bill J.,"Aurora, IL",,3,3,0,0,0,0,0,0,0,0,0,{},0,Mar-13,"{'Yelping Since': 'March 2013', 'Location': 'Aurora  IL'}",0,{'IL': 3},1
QF26V29mjdqcnvW2eycb4g,Julie B.,"Aurora, IL",,14,7,0,6,1,0,0,0,5,0,0,"{'Tips': '2', 'Bookmarks': '4'}",0,Mar-12,"{'Yelping Since': 'March 2012', 'Location': 'Aurora  IL'}",0,"{'FL': 1, 'IL': 6}",2
P90tsjXtgIIcmhslu8CWsg,Tina E.,"North Aurora, IL",â€œThe Take Out Queenâ€ù,13,204,187,95,54,20,16,19,142,44,25,"{'Followers': '7', 'Firsts': '86', 'Tips': '238', 'Review Updates': '10'}",9,Oct-07,"{'My First Concert': 'Bay City Rollers who else', 'My Favorite Movie': ""Pan's Labyrinth"", 'My Hometown': 'Tustin CA', 'Most Recent Discovery': ""Truffles   Cooper's Hawk Winery"", 'Current Crush': 'Cherry', 'My Last Meal On Earth': 'In Out Burgers w  Avocado Egg rolls from Cheesecake Factory.', 'Location': 'North Aurora  IL', 'Yelping Since': 'October 2007', 'My Second Favorite Website': 'ticketmaster.com', 'Why You Should Read My Reviews': ""Since moving to the 'burbs  I try to hit   least 1 new restaurant a week"", 'Find Me In': 'North Aurora IL'}",0,"{'PA': 1, 'IL': 149}",2
ByAdt2CwHqJjlwSpfRcRSQ,Todd L.,"Elgin, IL",,18,63,43,8,14,14,13,14,57,14,4,"{'Followers': '1', 'Firsts': '19', 'Tips': '37', 'Review Updates': '5', 'Bookmarks': '19'}",6,Oct-12,"{'Yelping Since': 'October 2012', 'Location': 'Elgin  IL'}",0,"{'WI': 3, 'NY': 6, 'IL': 52, 'OH': 1, 'IN': 1}",5
NHgcpHdnQhceqjNxc7cs9A,Ed The Executioner S.,"St. Charles, IL",â€œApparently I like to eatâ€ù,4,115,29,78,24,9,3,1,93,13,27,"{'Followers': '2', 'Firsts': '8', 'Tips': '18'}",5,Jan-14,"{'When Iâ€™m Not Yelping...': ""I'm sleeping off meat comas."", 'Donâ€™t Tell Anyone Else But...': 'I once punched a cook  he sliced a breakfast link on my pizza  called it sausage', 'Location': 'St. Charles  IL', 'Things I Love': 'BBQ  tequila  sushi  wood fired pizza  Vegas  cigars  Santa Barbara  boating  Mexican food  sunshine', 'Yelping Since': 'January 2014', 'My First Concert': 'Chicago  the band  at the original ChicagoFest'}",3,"{'WI': 2, 'TX': 5, 'NV': 5, 'WA': 1, 'HI': 1, 'NC': 1, 'FL': 15, 'AZ': 2, 'OH': 1, 'MO': 3, 'MI': 3, 'CO': 4, 'CA': 22, 'VA': 1, 'MN': 1, 'TN': 3, 'NE': 1, 'IL': 33}",18
