the-cloud-gate-chicago,The Cloud Gate,https://www.yelp.com/biz/the-cloud-gate-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,"['Millennium Park', '201 E Randolph St']",Chicago,IL,60602,508,3,3
bernices-tavern-chicago,Bernice's Tavern,https://www.yelp.com/biz/bernices-tavern-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,['3238 S Halsted St'],Chicago,IL,60608,98,3,3
lotus-cafe-and-b��nh-m��-sandwiches-chicago,Lotus Cafe & B��nh M�� Sandwiches,https://www.yelp.com/biz/lotus-cafe-and-b%C3%A1nh-m%C3%AC-sandwiches-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,['719 W Maxwell St'],Chicago,IL,60607,321,3,3
garfield-park-conservatory-chicago,Garfield Park Conservatory,https://www.yelp.com/biz/garfield-park-conservatory-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,5,['300 N Central Park'],Chicago,IL,60624,398,3,3
oriole-chicago,Oriole,https://www.yelp.com/biz/oriole-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,5,['661 W. Walnut St.'],Chicago,IL,60661,55,3,3
j-p-graziano-grocery-co-chicago,J.P. Graziano Grocery Co.,https://www.yelp.com/biz/j-p-graziano-grocery-co-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,['901 W Randolph St'],Chicago,IL,60607,378,3,3
bavettes-bar-and-boeuf-chicago,Bavette's Bar & Boeuf,https://www.yelp.com/biz/bavettes-bar-and-boeuf-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,['218 W Kinzie St'],Chicago,IL,60654,1414,3,3
jackalope-coffee-and-tea-house-chicago,Jackalope Coffee & Tea House,https://www.yelp.com/biz/jackalope-coffee-and-tea-house-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,['755 W 32nd St'],Chicago,IL,60608,205,3,3
girl-and-the-goat-chicago,Girl & the Goat,https://www.yelp.com/biz/girl-and-the-goat-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,['809 W Randolph St'],Chicago,IL,60607,5701,3,3
loop-juice-chicago-2,Loop Juice,https://www.yelp.com/biz/loop-juice-chicago-2?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,"['Chicago French Market', '131 N Clinton St']",Chicago,IL,60661,106,3,3
buckingham-fountain-chicago,Buckingham Fountain,https://www.yelp.com/biz/buckingham-fountain-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,['301 S Columbus Dr'],Chicago,IL,60605,278,3,3
cafe-monsivais-chicago,Cafe Monsivais,https://www.yelp.com/biz/cafe-monsivais-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,['1637 W 18th St'],Chicago,IL,60608,49,3,3
saucy-porka-chicago,Saucy Porka,https://www.yelp.com/biz/saucy-porka-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,['400 S Financial Pl'],Chicago,IL,60605,462,3,3
ub-dogs-chicago,UB Dogs,https://www.yelp.com/biz/ub-dogs-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,['185 N Franklin St'],Chicago,IL,60606,339,3,3
bohemian-house-chicago,Bohemian House,https://www.yelp.com/biz/bohemian-house-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,['11 W Illinois St'],Chicago,IL,60654,534,3,3
grace-chicago-3,Grace,https://www.yelp.com/biz/grace-chicago-3?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,['652 W Randolph St'],Chicago,IL,60661,234,3,3
brightwok-kitchen-chicago,Brightwok Kitchen,https://www.yelp.com/biz/brightwok-kitchen-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,['21 E Adams St'],Chicago,IL,60603,258,3,3
millennium-park-chicago,Millennium Park,https://www.yelp.com/biz/millennium-park-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,['201 E Randolph St'],Chicago,IL,60602,991,4,4
pollo-express-chicago-2,Pollo Express,https://www.yelp.com/biz/pollo-express-chicago-2?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,['1315 W 18th St'],Chicago,IL,60608,265,4,4
the-cloud-gate-chicago,The Cloud Gate,https://www.yelp.com/biz/the-cloud-gate-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,"['Millennium Park', '201 E Randolph St']",Chicago,IL,60602,508,4,4
bernices-tavern-chicago,Bernice's Tavern,https://www.yelp.com/biz/bernices-tavern-chicago?adjust_creative=RvGtzG-WzFOhufGfqqb7lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=RvGtzG-WzFOhufGfqqb7lw,4.5,['3238 S Halsted St'],Chicago,IL,60608,98,4,4
