business_id,business_name,business_url,business_rating,business_locationaddress,business_city,business_statecode,business_zipcode,business_reviewcount,offset
the-bongo-room-chicago,The Bongo Room,https://www.yelp.com/biz/the-bongo-room-chicago,4.0,['1470 N Milwaukee Ave'],Chicago,IL,60622,1332,590
enolo-wine-cafe-chicago,Enolo Wine Cafe,https://www.yelp.com/biz/enolo-wine-cafe-chicago,4.0,['450 N Clark St'],Chicago,IL,60654,164,590
joy-yee-noodle-chicago-2,Joy Yee Noodle,https://www.yelp.com/biz/joy-yee-noodle-chicago-2,3.5,['2139 S China Pl'],Chicago,IL,60616,1185,590
roti-modern-mediterranean-chicago,Roti Modern Mediterranean,https://www.yelp.com/biz/roti-modern-mediterranean-chicago,4.0,['10 S Riverside Plz'],Chicago,IL,60606,241,590
rite-liquors-chicago,Rite Liquors,https://www.yelp.com/biz/rite-liquors-chicago,4.5,['1649 W Division St'],Chicago,IL,60622,56,590
takito-kitchen-chicago,Takito Kitchen,https://www.yelp.com/biz/takito-kitchen-chicago,4.0,['2013 W Division St'],Chicago,IL,60622,356,590
the-gallery-cabaret-chicago,The Gallery Cabaret,https://www.yelp.com/biz/the-gallery-cabaret-chicago,4.5,['2020 N Oakley Ave'],Chicago,IL,60647,141,590
haywood-tavern-chicago,Haywood Tavern,https://www.yelp.com/biz/haywood-tavern-chicago,4.5,['2759 W Augusta Blvd'],Chicago,IL,60622,74,590
the-roost-carolina-kitchen-chicago-2,The Roost Carolina Kitchen,https://www.yelp.com/biz/the-roost-carolina-kitchen-chicago-2,4.0,['455 N Milwaukee Ave'],Chicago,IL,60654,111,590
mama-milanos-pizza-bar-chicago,Mama Milano's Pizza Bar,https://www.yelp.com/biz/mama-milanos-pizza-bar-chicago,4.5,['1419 N Wells St'],Chicago,IL,60610,122,590
sullivans-steakhouse-chicago,Sullivan's Steakhouse,https://www.yelp.com/biz/sullivans-steakhouse-chicago,4.0,['415 N Dearborn St'],Chicago,IL,60654,330,590
original-pancake-house-chicago,Original Pancake House,https://www.yelp.com/biz/original-pancake-house-chicago,4.0,['22 E Bellevue Pl'],Chicago,IL,60611,424,591
pret-a-manger-chicago,Pret A Manger,https://www.yelp.com/biz/pret-a-manger-chicago,4.0,['211 W Adams St'],Chicago,IL,60606,165,591
de-pasada-chicago-2,De Pasada,https://www.yelp.com/biz/de-pasada-chicago-2,4.0,['1517 W Taylor St'],Chicago,IL,60607,183,591
lockdown-bar-and-grill-chicago,Lockdown Bar & Grill,https://www.yelp.com/biz/lockdown-bar-and-grill-chicago,4.0,['1024 N Western Ave'],Chicago,IL,60622,975,591
